"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000087338.5",435.566994228608,0.258673014640722,0.108214556332063,2.39037171530757,0.0168313280405429,0.027948100894192
"ENSG00000110811.20",961.799819732552,-0.184513223505763,0.0772145985952629,-2.38961578331747,0.0168660067212964,0.028002781139733
"ENSG00000286427.1",5.28069382384954,1.39813839448179,0.58512234240206,2.3894804439395,0.0168722220840582,0.0280101970481302
"ENSG00000104899.8",72.7702237341448,0.481138283147381,0.20138106884905,2.38919321412496,0.0168854195662069,0.0280292014915469
"ENSG00000263002.8",178.623212015167,0.286410345395553,0.119887167626428,2.38899918203103,0.0168943399762184,0.0280411029429109
"ENSG00000213553.4",307.848377133203,-0.259059658773303,0.108462951027789,-2.38846220131822,0.0169190486345644,0.0280792044326823
"ENSG00000105793.16",279.537480018513,-0.274427096272125,0.11493277444988,-2.38771836480635,0.0169533279603039,0.0281331800601106
"ENSG00000134815.19",314.367825709834,-0.229909662122765,0.0963250669526929,-2.38681030178445,0.0169952581922895,0.0281975040554091
"ENSG00000163923.10",24.8805741144213,-0.56776136105631,0.23787528361258,-2.38680266580788,0.0169956111725616,0.0281975040554091
"ENSG00000169926.11",164.100603874861,0.266148556488974,0.111534387442307,2.38624663291977,0.017021331617553,0.0282372520474724
"ENSG00000197576.14",32.0973955373855,-0.473941341280964,0.198648686312003,-2.38582670784229,0.0170407787474112,0.0282665858737869
"ENSG00000179240.13",35.6197763860666,0.474743886720093,0.19898872080057,2.38578289668935,0.0170428088062734,0.0282670258517222
"ENSG00000228903.7",5.56906501527145,1.29915447119117,0.544583594937494,2.38559237418873,0.0170516394349388,0.0282787439251827
"ENSG00000108344.15",2934.70876700796,-0.160826995145551,0.0674190825250882,-2.38548181200336,0.0170567657811439,0.028284316959994
"ENSG00000072682.20",12008.7846294035,-0.222341145627556,0.0932221287874322,-2.38506831499788,0.0170759500457074,0.0283131979174012
"ENSG00000169288.18",311.090830985861,-0.234404993371801,0.0982915857826117,-2.38479206033186,0.0170887774751776,0.0283315338805423
"ENSG00000225973.4",47.7947732478396,-0.430948486139896,0.180735605058804,-2.38441388457843,0.0171063511503043,0.0283577340482741
"ENSG00000153130.18",1496.176967545,-0.282554343003798,0.118527651761777,-2.38386856403508,0.0171317198924343,0.0283968495826472
"ENSG00000281357.4",25.6596117659553,0.649752232817212,0.272590127133822,2.38362349968101,0.0171431312248435,0.0284128241751157
"ENSG00000264964.2",15.4610840717689,0.760546060175863,0.319169930113703,2.38288757310227,0.0171774394674214,0.0284653650271983
"ENSG00000258773.2",4.70789559635198,-1.25379623974153,0.526171244628187,-2.38286727475483,0.0171783866112817,0.0284653650271983
"ENSG00000180425.11",42.8127968423698,0.405141350492188,0.170038492244697,2.38264492435725,0.0171887647323531,0.0284796156737458
"ENSG00000225206.11",26.5475862437533,-0.530275989731863,0.222669250055539,-2.38145136609388,0.0172445676694164,0.0285691187795866
"ENSG00000170959.15",9.19174640192561,-1.08556794016457,0.455881791435255,-2.38124873719319,0.0172540570263874,0.0285818834824332
"ENSG00000104983.8",70.5627421513562,-0.371772190979344,0.156203970303277,-2.3800431593226,0.0173106104451419,0.0286726005687526
"ENSG00000272335.1",40.8554567203148,-0.554016555074385,0.232849504283863,-2.37929024920316,0.0173460117189647,0.0287282669530201
"ENSG00000116668.13",102.922122296992,0.31775084617343,0.133570038736344,2.37890809330859,0.0173640046843343,0.0287550933652795
"ENSG00000104529.19",3699.10724218542,-0.23011324253876,0.0967341327378441,-2.37882158061397,0.0173680802145573,0.0287588690992003
"ENSG00000115446.12",493.523217006152,0.189941718138449,0.0798523001095064,2.37866308018642,0.0173755491942745,0.0287682625020359
"ENSG00000267422.1",7.731720038593,1.00437455135274,0.42228226335716,2.37844361107645,0.017385895837502,0.0287824179461777
"ENSG00000132326.12",302.206073173285,-0.193110914483798,0.0811942077511025,-2.37838289001811,0.0173887594227288,0.0287841835132128
"ENSG00000134853.12",40.0237693130656,0.501251181586774,0.210873510032903,2.3770229912167,0.0174530002491573,0.0288875379756901
"ENSG00000260917.1",131.662688064988,0.247931239248056,0.10431809182211,2.37668495385101,0.017469001192907,0.0289110345222971
"ENSG00000128313.2",5.27222831180977,1.42917006860739,0.601387013432333,2.37645648590015,0.0174798229689656,0.0289259556249532
"ENSG00000127666.11",464.475995995531,0.268434378060411,0.112960579720321,2.37635446564658,0.0174846572311326,0.0289309664122986
"ENSG00000134215.16",16.7913246998199,-0.85675104868423,0.360571722885312,-2.37609050934019,0.0174971703247962,0.0289486806210372
"ENSG00000120093.12",174.679885999881,-0.298346361772337,0.125570977328674,-2.37591813107765,0.0175053463134946,0.0289582083596102
"ENSG00000102893.17",1883.67606785012,0.19208565766772,0.0808477775092906,2.37589286416249,0.0175065450175504,0.0289582083596102
"ENSG00000136999.5",21.2809524472035,0.775410587242758,0.326508254090172,2.37485753431707,0.0175557246976592,0.0290365595293688
"ENSG00000129460.16",311.866613263213,-0.218380708417349,0.0920455069307179,-2.37252980291285,0.0176667378077683,0.0292171543073851
"ENSG00000254402.7",23.2894880440382,0.592402931294157,0.249727551334035,2.37219693273554,0.0176826630792726,0.0292404722837817
"ENSG00000157593.19",1407.78245078901,-0.189136580139315,0.0797361914967114,-2.37202927038616,0.0176906891934797,0.029250724559922
"ENSG00000112763.17",925.509894176682,-0.151087732775486,0.0637116406524396,-2.37143057733674,0.0177193751111536,0.0292951312092638
"ENSG00000135392.19",510.10500390874,-0.146805378380161,0.0619339530863456,-2.37035375693671,0.0177710727412169,0.0293775696249428
"ENSG00000133030.22",9290.25334765779,0.128155259663592,0.0540686233725489,2.37023344908496,0.0177768568636768,0.0293840986981952
"ENSG00000181274.7",58.3189744545149,0.417585434846087,0.176191731250404,2.37006261237432,0.0177850731309336,0.0293946462014409
"ENSG00000095794.20",331.786582008786,0.183643362840025,0.0774911552017093,2.36986224249725,0.0177947140143509,0.029407545848933
"ENSG00000231167.3",34.4508320957615,0.714624038545894,0.301658935249695,2.36898017940152,0.0178372093342585,0.0294747324777488
"ENSG00000107105.15",291.209907859455,0.358244148703323,0.15123734664681,2.36875452159276,0.0178480951662487,0.0294896781800913
"ENSG00000188554.15",3989.13799816584,0.130932896502661,0.0553027934331465,2.36756388555563,0.0179056284047172,0.0295816864526411
"ENSG00000112282.18",676.516027538519,0.166690586103731,0.0704164729487273,2.36721010189057,0.0179227550198328,0.0296053410052931
"ENSG00000272173.1",7.22569720591143,-0.952670726677138,0.402447634741187,-2.3671917646871,0.0179236431122137,0.0296053410052931
"ENSG00000196704.14",2085.88952976968,-0.155431332910689,0.0656650352287775,-2.36703341998013,0.0179313135369186,0.0296149565808233
"ENSG00000224536.2",10.353494670303,0.902585251339132,0.381358870509043,2.36676086787846,0.0179445230520241,0.0296337174682204
"ENSG00000263528.8",184.569374353265,0.218531603338677,0.0923476071900102,2.36640244385582,0.0179619074130655,0.0296593681479454
"ENSG00000279865.1",29.8537020130731,0.617671127808316,0.261166421189999,2.36504802184718,0.0180277331657831,0.0297649935178175
"ENSG00000196323.14",805.313589906735,0.225394692165362,0.0953114337691681,2.36482322478999,0.0180386788630235,0.029779995810044
